identifier_client,quantity,book_price,portfolio_name,position_date,curve_name
US898324AB45,805000.0,85.59,USIG01,2025-05-20,USD_SWAP
US40049JBE64,445450.0,66.8,USIG01,2025-05-20,USD_SWAP
US40049JBC09,1310000.0,77.21,USIG01,2025-05-20,USD_SWAP
US345370BR09,455000.0,99.4,USIG01,2025-05-20,USD_SWAP
US29359UAD19,30000.0,100.37,USIG01,2025-05-20,USD_SWAP
US48667QAS49,2466000.0,88.49,USIG01,2025-05-20,USD_SWAP
US40049JBA43,1005000.0,66.74,USIG01,2025-05-20,USD_SWAP
US25470DBG34,578000.0,73.16,USIG01,2025-05-20,USD_SWAP
US59284MAD65,2891000.0,76.25,USIG01,2025-05-20,USD_SWAP
US78413KAB89,824000.0,71.77,USIG01,2025-05-20,USD_SWAP
US677412AF59,405000.0,90.59,USIG01,2025-05-20,USD_SWAP
US78413HAB50,585000.0,71.94,USIG01,2025-05-20,USD_SWAP
US59284BAG32,742000.0,77.39,USIG01,2025-05-20,USD_SWAP
US200447AE01,20000.0,84.75,USIG01,2025-05-20,USD_SWAP
US59284MAB00,1347000.0,77.79,USIG01,2025-05-20,USD_SWAP
US628530BJ54,1133000.0,74.64,USIG01,2025-05-20,USD_SWAP
US03743QAN88,630000.0,77.14,USIG01,2025-05-20,USD_SWAP
US25470DAT63,1090000.0,74.74,USIG01,2025-05-20,USD_SWAP
US59284BAE83,1090000.0,82.76,USIG01,2025-05-20,USD_SWAP
US456829AB67,647000.0,70.5,USIG01,2025-05-20,USD_SWAP
US40049JAZ03,952000.0,87.8,USIG01,2025-05-20,USD_SWAP
US48667QAP00,2190000.0,83.22,USIG01,2025-05-20,USD_SWAP
US11952AAA07,220000.0,100.87,USIG01,2025-05-20,USD_SWAP
US62854AAP93,1336000.0,76.03,USIG01,2025-05-20,USD_SWAP
US161175BA14,5197000.0,92.98,USIG01,2025-05-20,USD_SWAP
US89834JAC71,110000.0,100.67,USIG01,2025-05-20,USD_SWAP
US456472AC33,735000.0,83.95,USIG01,2025-05-20,USD_SWAP
US59284BAD01,390000.0,93.6,USIG01,2025-05-20,USD_SWAP
US161175BN35,3490000.0,85.24,USIG01,2025-05-20,USD_SWAP
US402740AE49,504000.0,86.17,USIG01,2025-05-20,USD_SWAP
US674599DL68,1670000.0,96.03,USIG01,2025-05-20,USD_SWAP
US86964WAB81,1822000.0,103.27,USIG01,2025-05-20,USD_SWAP
US25470DAD12,1067000.0,87.5,USIG01,2025-05-20,USD_SWAP
US92553PAW23,426000.0,77.22,USIG01,2025-05-20,USD_SWAP
US37045VAT70,1425000.0,90.11,USIG01,2025-05-20,USD_SWAP
US24703TAK25,889000.0,121.77,USIG01,2025-05-20,USD_SWAP
US37045VAL45,1124000.0,99.34,USIG01,2025-05-20,USD_SWAP
US92553PAU66,1600000.0,84.52,USIG01,2025-05-20,USD_SWAP
US88322YAD31,835000.0,81.13,USIG01,2025-05-20,USD_SWAP
US958254AL80,605000.0,82.95,USIG01,2025-05-20,USD_SWAP
US345370CS72,1945000.0,79.2,USIG01,2025-05-20,USD_SWAP
US628530BC02,746000.0,79.48,USIG01,2025-05-20,USD_SWAP
US74445PAD42,705000.0,102.47,USIG01,2025-05-20,USD_SWAP
US161175BS22,1880000.0,78.0,USIG01,2025-05-20,USD_SWAP
US05571ABB08,1260000.0,102.02,USIG01,2025-05-20,USD_SWAP
US012725AD95,365000.0,81.16,USIG01,2025-05-20,USD_SWAP
US161175BL78,3621000.0,81.06,USIG01,2025-05-20,USD_SWAP
US05974EAA82,1988501.0,99.1,USIG01,2025-05-20,USD_SWAP
US29279FAA75,2576000.0,95.96,USIG01,2025-05-20,USD_SWAP
US03835VAH96,658000.0,83.26,USIG01,2025-05-20,USD_SWAP
US958254AJ35,1085000.0,81.86,USIG01,2025-05-20,USD_SWAP
US527288BF07,430000.0,96.72,USIG01,2025-05-20,USD_SWAP
US55903VBD47,6173000.0,75.78,USIG01,2025-05-20,USD_SWAP
US80281LAB18,395000.0,85.18,USIG01,2025-05-20,USD_SWAP
US71568PAH29,859000.0,96.79,USIG01,2025-05-20,USD_SWAP
US124857AK99,710000.0,75.0,USIG01,2025-05-20,USD_SWAP
US674599CY98,232000.0,68.9,USIG01,2025-05-20,USD_SWAP
US963320AV88,725000.0,70.07,USIG01,2025-05-20,USD_SWAP
US37045VAQ32,1150000.0,84.49,USIG01,2025-05-20,USD_SWAP
US69370PAC59,1260000.0,101.11,USIG01,2025-05-20,USD_SWAP
US29278NAE31,1505000.0,93.28,USIG01,2025-05-20,USD_SWAP
US10922NAF06,989000.0,73.75,USIG01,2025-05-20,USD_SWAP
US674599CF00,525000.0,72.34,USIG01,2025-05-20,USD_SWAP
US00652MAJ18,305000.0,76.4,USIG01,2025-05-20,USD_SWAP
US200447AC45,982000.0,85.73,USIG01,2025-05-20,USD_SWAP
US71568PAF62,1595000.0,95.89,USIG01,2025-05-20,USD_SWAP
US674599CL77,479000.0,65.4,USIG01,2025-05-20,USD_SWAP
US674599CN34,540000.0,66.98,USIG01,2025-05-20,USD_SWAP
