identifier_client,price,adate,curve_name
US59156RAV06,130.32,2025-04-30,USD_SWAP
US0669224778,1.0,2025-04-30,USD_SWAP
US0641598S88,103.27,2025-04-30,USD_SWAP
US29250NBT19,107.33,2025-04-30,USD_SWAP
US29250NBS36,103.97,2025-04-30,USD_SWAP
US59156RBS67,117.14,2025-04-30,USD_SWAP
US89117F8Z56,103.23,2025-04-30,USD_SWAP
US0641598V18,102.02,2025-04-30,USD_SWAP
US06368LQ586,101.59,2025-04-30,USD_SWAP
US29250NBP96,101.84,2025-04-30,USD_SWAP
US53079QAD97,108.41,2025-04-30,USD_SWAP
US0641598X73,98.25,2025-04-30,USD_SWAP
US780082AR49,102.24,2025-04-30,USD_SWAP
US06368L5Q57,98.63,2025-04-30,USD_SWAP
US29250NBN49,100.59,2025-04-30,USD_SWAP
US89116CKP13,99.64,2025-04-30,USD_SWAP
US591560AA57,108.25,2025-04-30,USD_SWAP
US13607PNF70,96.51,2025-04-30,USD_SWAP
US89352HBG39,98.12,2025-04-30,USD_SWAP
US780082AT05,91.7,2025-04-30,USD_SWAP
US760719BH68,113.56,2025-04-30,USD_SWAP
US638612AJ06,96.2,2025-04-30,USD_SWAP
US55903VBF94,68.56,2025-04-30,USD_SWAP
US898339AB22,79.36,2025-04-30,USD_SWAP
US29250NCG88,100.96,2025-04-30,USD_SWAP
US03743QAS75,90.13,2025-04-30,USD_SWAP
US695114DF26,102.17,2025-04-30,USD_SWAP
US172967AS06,109.9,2025-04-30,USD_SWAP
US31769PAB67,91.56,2025-04-30,USD_SWAP
US75102XAC02,94.67,2025-04-30,USD_SWAP
US46115HCB15,109.08,2025-04-30,USD_SWAP
US83368RBY71,98.73,2025-04-30,USD_SWAP
US29250NCF06,99.5,2025-04-30,USD_SWAP
US00787CAE21,67.05,2025-04-30,USD_SWAP
US161175BC79,95.26,2025-04-30,USD_SWAP
US83368RBT86,102.32,2025-04-30,USD_SWAP
US898324AB45,85.59,2025-04-30,USD_SWAP
US29364GAQ64,100.36,2025-04-30,USD_SWAP
US05565QDW50,99.73,2025-04-30,USD_SWAP
US69047QAD43,98.88,2025-04-30,USD_SWAP
US200447AM27,83.95,2025-04-30,USD_SWAP
US459200AP64,119.53,2025-04-30,USD_SWAP
US40049JBE64,66.8,2025-04-30,USD_SWAP
US816851BV01,92.49,2025-04-30,USD_SWAP
US816851BS71,97.32,2025-04-30,USD_SWAP
US268317AL89,95.24,2025-04-30,USD_SWAP
US40049JBC09,77.21,2025-04-30,USD_SWAP
US74977RCM43,90.39,2025-04-30,USD_SWAP
US097023DU67,106.6,2025-04-30,USD_SWAP
US025537AZ40,101.17,2025-04-30,USD_SWAP
US13645RAX26,98.96,2025-04-30,USD_SWAP
US98105TAA25,100.47,2025-04-30,USD_SWAP
US816851BU28,95.13,2025-04-30,USD_SWAP
US11276BAA70,96.74,2025-04-30,USD_SWAP
US29250NAW56,98.11,2025-04-30,USD_SWAP
US020002AU59,99.53,2025-04-30,USD_SWAP
US00774MBK09,100.59,2025-04-30,USD_SWAP
US161175CL69,79.05,2025-04-30,USD_SWAP
US637432PB56,102.7,2025-04-30,USD_SWAP
US15189TBH95,102.09,2025-04-30,USD_SWAP
US816851BT54,91.51,2025-04-30,USD_SWAP
US55903VBE20,69.18,2025-04-30,USD_SWAP
US15189TBJ51,99.87,2025-04-30,USD_SWAP
US05565QDX34,96.79,2025-04-30,USD_SWAP
US025537BA89,101.47,2025-04-30,USD_SWAP
US30034WAE66,96.87,2025-04-30,USD_SWAP
US46115HCF29,114.96,2025-04-30,USD_SWAP
US04686JAJ07,96.09,2025-04-30,USD_SWAP
US65473PAR64,101.31,2025-04-30,USD_SWAP
US19828TAD81,103.57,2025-04-30,USD_SWAP
US345370BR09,99.4,2025-04-30,USD_SWAP
US59156RAP38,99.25,2025-04-30,USD_SWAP
US37959GAF46,98.44,2025-04-30,USD_SWAP
US29359UAD19,100.37,2025-04-30,USD_SWAP
US21987BBM90,100.0,2025-04-30,USD_SWAP
US15189TBP12,98.94,2025-04-30,USD_SWAP
US23381LAA26,99.83,2025-04-30,USD_SWAP
US302491AY14,92.25,2025-04-30,USD_SWAP
US48667QAS49,88.49,2025-04-30,USD_SWAP
US674599EM33,88.04,2025-04-30,USD_SWAP
US40049JBA43,66.74,2025-04-30,USD_SWAP
US07274EAM57,101.5,2025-04-30,USD_SWAP
US25746UDU07,104.23,2025-04-30,USD_SWAP
US25746UDV89,98.81,2025-04-30,USD_SWAP
US25470DBG34,73.16,2025-04-30,USD_SWAP
US25746UDT34,103.1,2025-04-30,USD_SWAP
US21871XAP42,101.21,2025-04-30,USD_SWAP
US012653AF81,80.71,2025-04-30,USD_SWAP
